Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_10?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-10,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)  ",689,3.8 out of 5 stars,"2,313","Care Instructions: Hand Wash OnlyEase of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )Care Instructions: Wipe with Dry ClothSuperior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.",LEGEND-1,B09QJ7ZF2Y
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTk2MDU2NzU3NTcwMDEwOjE2OTAxMjU1MDY6c3BfbXRmOjMwMDAxMzM0Mjk4MzgzMjo6MDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C6104MLT%26keywords%3Dbags%26qid%3D1690125506%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black  ,"1,399",4.1 out of 5 stars,"5,733",Care Instructions: Hand Wash OnlyBackpack,Backpack,B09CQ5T3LN
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTk2MDU2NzU3NTcwMDEwOjE2OTAxMjU1MDY6c3BfbXRmOjIwMTY3MTU0OTgxMjk4OjowOjo&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JQSMD5%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C6104MLT%26keywords%3Dbags%26qid%3D1690125506%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop  ,"2,499",4.4 out of 5 stars,7,"2 Large Compartments 1 Easy access front Pocket with organizer section & 2 mesh side pocketCapacity : 36 L ; Dimensions : 13X9X19 Inch (LXWXH)Pretty much everything on this backpack is heavily padded. The laptop compartment is also super protective, so there's no need to worry about your laptop getting all banged and damaged. These bags are made of long lasting fabric and their stylish designs help you to make the best impression. It's features are such to make sure that every day is bright and organized.Laptop pocket designed for your laptops to give them maximum security. It comes with Ipad Pocket and Pen Pocket which aids in organising your things systematically. A comfortable breathable back and straps to strengthen your shoulder and hence ensures durability.A roller bag sleeve added feature to make your travelling even more comfortable and convenient. It is water resistance also so that your backpack never loses its good look.",B0B4JQSMD5,EUME Lifetsyle Pvt Ltd
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_13?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-13,Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104)  ,"1,125",4.4 out of 5 stars,"5,912","Outer Material: Polyester, Color: BlackWater Resistance: Water resistantCapacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",B075MK4TXP,Gear Merchandise PVT LTD
https://www.amazon.in/Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_14?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-14,Nelle Harper Women's Handbag  ,809,3.7 out of 5 stars,"1,905","Style meets functionality with this well crafted sling along with attractive gold hardware giving it a classy vintage lookThe inner magnetic closure compartments, and zipper pockets converts the bag into your efficiency partner for your A-gameClub it with your evening dress or sling it along for that satisfying shopping spreeMade in India",B07JGQM7DC,Red Turks India
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_15?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-15,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag  ,749,4.1 out of 5 stars,"1,556","Care Instructions: Hand Wash OnlySpacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessoriesCAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problemFEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: AdultCOMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.12 Months Limited Brand Warranty",B098QFF5TJ,Wesley
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_16?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-16,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,899,3.9 out of 5 stars,"9,897","MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: Black; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult",B08YZ8FFBZ,"Akshaya Rubbers, Hebbal Industrial Area, Mysore"
https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_17?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-17,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey)  ,427,4.3 out of 5 stars,"7,630","Premium Durable Material - Travel duffel bag is made of high quality,durable material.Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.Adjustable Shoulder straps - Comfortable and adjustable shoulder strapAbundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!",Sfane,11 September 2019
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_18?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-18,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue  ,248,4.0 out of 5 stars,"20,013","Care Instructions: Hand Wash OnlyOuter Material: Polyester, Color: Sea BlueNot water resistant. With Rain Cover:NoCapacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)Number of compartments: 2; Laptop Compatibility: NoAge Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility PocketDrawstring, 2 Compartments, Compact Size",B07Q7CNPMV,Safari Industries (India) Ltd
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_19?crid=2M096C6104MLT&keywords=bags&qid=1690125506&sprefix=ba%2Caps%2C283&sr=8-19,Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L  ,549,4.0 out of 5 stars,122,"Care Instructions: Hand Wash OnlyCOMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499gHIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important itemsCONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day useCONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",B0BL3TVDK6,Northzone
